created_at,entry_id,field1,field2
2022-03-29 19:45:13 UTC,2188,22.690000000000055,21.890000000000043
2022-03-29 19:45:28 UTC,2189,22.750000000000057,21.950000000000045
2022-03-29 19:45:58 UTC,2190,22.630000000000052,21.930000000000007
2022-03-29 19:46:13 UTC,2191,22.77000000000004,21.950000000000045
2022-03-29 19:46:28 UTC,2192,22.77000000000004,21.930000000000007
2022-03-29 19:46:58 UTC,2193,22.83000000000004,21.950000000000045
2022-03-29 19:47:28 UTC,2194,22.53000000000003,21.950000000000045
2022-03-29 19:47:43 UTC,2195,22.410000000000025,21.890000000000043
2022-03-29 19:47:58 UTC,2196,22.370000000000005,21.83000000000004
2022-03-29 19:48:28 UTC,2197,22.410000000000025,21.730000000000018
2022-03-29 19:48:43 UTC,2198,22.350000000000023,21.710000000000036
2022-03-29 19:49:13 UTC,2199,22.250000000000057,21.630000000000052
2022-03-29 19:49:43 UTC,2200,22.410000000000025,21.630000000000052
2022-03-29 19:49:58 UTC,2201,22.470000000000027,21.650000000000034
2022-03-29 19:50:13 UTC,2202,22.410000000000025,21.690000000000055
2022-03-29 19:50:28 UTC,2203,22.350000000000023,21.690000000000055
2022-03-29 19:50:58 UTC,2204,22.590000000000032,21.710000000000036
2022-03-29 19:51:13 UTC,2205,22.53000000000003,21.650000000000034
2022-03-29 19:51:28 UTC,2206,22.510000000000048,21.690000000000055
2022-03-29 19:51:43 UTC,2207,22.430000000000007,21.650000000000034
2022-03-29 19:51:58 UTC,2208,22.510000000000048,21.690000000000055
2022-03-29 19:52:13 UTC,2209,22.510000000000048,21.630000000000052
2022-03-29 19:52:28 UTC,2210,22.630000000000052,21.650000000000034
2022-03-29 19:52:43 UTC,2211,22.57000000000005,21.650000000000034
2022-03-29 19:52:59 UTC,2212,22.510000000000048,21.610000000000014
2022-03-29 19:53:28 UTC,2213,22.430000000000007,21.610000000000014
2022-03-29 19:53:44 UTC,2214,22.57000000000005,21.57000000000005
2022-03-29 19:53:59 UTC,2215,22.590000000000032,21.55000000000001
2022-03-29 19:54:14 UTC,2216,22.53000000000003,21.55000000000001
2022-03-29 19:54:44 UTC,2217,22.430000000000007,21.53000000000003
2022-03-29 19:54:59 UTC,2218,22.410000000000025,21.49000000000001
2022-03-29 19:55:14 UTC,2219,22.630000000000052,21.510000000000048
2022-03-29 19:55:29 UTC,2220,22.510000000000048,21.470000000000027
2022-03-29 19:55:44 UTC,2221,22.57000000000005,21.49000000000001
2022-03-29 19:55:59 UTC,2222,22.430000000000007,21.470000000000027
2022-03-29 19:56:14 UTC,2223,22.57000000000005,21.510000000000048
2022-03-29 19:56:29 UTC,2224,22.370000000000005,21.510000000000048
2022-03-29 19:56:44 UTC,2225,22.650000000000034,21.49000000000001
2022-03-29 19:57:14 UTC,2226,22.53000000000003,21.470000000000027
2022-03-29 19:57:29 UTC,2227,22.53000000000003,21.430000000000007
2022-03-29 19:57:44 UTC,2228,22.350000000000023,21.430000000000007
2022-03-29 19:57:59 UTC,2229,22.350000000000023,21.410000000000025
2022-03-29 19:58:14 UTC,2230,22.410000000000025,21.390000000000043
2022-03-29 19:58:44 UTC,2231,22.310000000000002,21.390000000000043
2022-03-29 19:58:59 UTC,2232,22.350000000000023,21.370000000000005
2022-03-29 19:59:14 UTC,2233,22.350000000000023,21.390000000000043
2022-03-29 19:59:29 UTC,2234,22.430000000000007,21.410000000000025
2022-03-29 19:59:44 UTC,2235,22.470000000000027,21.410000000000025
2022-03-29 19:59:59 UTC,2236,22.410000000000025,21.470000000000027
2022-03-29 20:00:29 UTC,2237,22.470000000000027,21.430000000000007
2022-03-29 20:00:44 UTC,2238,22.350000000000023,21.410000000000025
2022-03-29 20:00:59 UTC,2239,22.370000000000005,21.410000000000025
2022-03-29 20:01:14 UTC,2240,22.29000000000002,21.390000000000043
2022-03-29 20:01:44 UTC,2241,22.350000000000023,21.370000000000005
2022-03-29 20:01:59 UTC,2242,22.410000000000025,21.350000000000023
2022-03-29 20:02:14 UTC,2243,22.190000000000055,21.29000000000002
2022-03-29 20:02:29 UTC,2244,22.410000000000025,21.27000000000004
2022-03-29 20:02:59 UTC,2245,22.250000000000057,21.33000000000004
2022-03-29 20:03:29 UTC,2246,22.250000000000057,21.27000000000004
2022-03-29 20:03:44 UTC,2247,22.350000000000023,21.310000000000002
2022-03-29 20:04:14 UTC,2248,22.170000000000016,21.250000000000057
2022-03-29 20:04:29 UTC,2249,22.250000000000057,21.190000000000055
2022-03-29 20:04:44 UTC,2250,22.250000000000057,21.230000000000018
2022-03-29 20:04:59 UTC,2251,22.170000000000016,21.230000000000018
2022-03-29 20:05:29 UTC,2252,22.230000000000018,21.230000000000018
2022-03-29 20:05:44 UTC,2253,22.350000000000023,21.27000000000004
2022-03-29 20:05:59 UTC,2254,22.470000000000027,21.250000000000057
2022-03-29 20:06:14 UTC,2255,22.230000000000018,21.29000000000002
2022-03-29 20:06:29 UTC,2256,22.430000000000007,21.29000000000002
2022-03-29 20:06:44 UTC,2257,22.29000000000002,21.27000000000004
2022-03-29 20:06:59 UTC,2258,22.370000000000005,21.29000000000002
2022-03-29 20:07:29 UTC,2259,22.310000000000002,21.29000000000002
2022-03-29 20:07:59 UTC,2260,22.29000000000002,21.29000000000002
2022-03-29 20:08:29 UTC,2261,22.29000000000002,21.230000000000018
2022-03-29 20:08:44 UTC,2262,22.350000000000023,21.250000000000057
2022-03-29 20:09:14 UTC,2263,22.29000000000002,21.250000000000057
2022-03-29 20:09:44 UTC,2264,22.250000000000057,21.230000000000018
